CPU Usage: 18.849449%, Memory Usage: 15.714953%
CPU Usage: 18.005019%, Memory Usage: 16.565479%
CPU Usage: 21.065831%, Memory Usage: 17.587235%
CPU Usage: 1.809108%, Memory Usage: 17.645913%
CPU Usage: 2.245789%, Memory Usage: 17.671930%
CPU Usage: 1.373283%, Memory Usage: 17.651996%
CPU Usage: 0.872274%, Memory Usage: 17.668352%
CPU Usage: 0.062500%, Memory Usage: 17.667994%
CPU Usage: 0.936330%, Memory Usage: 17.567863%
CPU Usage: 1.060512%, Memory Usage: 17.561525%
CPU Usage: 0.000000%, Memory Usage: 17.561525%
CPU Usage: 0.873362%, Memory Usage: 17.580744%
CPU Usage: 0.187149%, Memory Usage: 17.580744%
CPU Usage: 0.562852%, Memory Usage: 17.620919%
CPU Usage: 0.751409%, Memory Usage: 17.359014%
CPU Usage: 1.375860%, Memory Usage: 17.334480%
CPU Usage: 0.062461%, Memory Usage: 17.337700%
CPU Usage: 0.562149%, Memory Usage: 17.343936%
CPU Usage: 0.000000%, Memory Usage: 17.343936%
CPU Usage: 2.812500%, Memory Usage: 17.345878%
CPU Usage: 0.124844%, Memory Usage: 17.345878%
CPU Usage: 0.686213%, Memory Usage: 17.340511%
CPU Usage: 0.619579%, Memory Usage: 17.317970%
CPU Usage: 0.936330%, Memory Usage: 17.317612%
CPU Usage: 0.124844%, Memory Usage: 17.317612%
CPU Usage: 0.500000%, Memory Usage: 17.327528%
CPU Usage: 0.062500%, Memory Usage: 17.333202%
CPU Usage: 0.810474%, Memory Usage: 17.349303%
CPU Usage: 0.124844%, Memory Usage: 17.346082%
CPU Usage: 1.061836%, Memory Usage: 16.635198%
CPU Usage: 0.998752%, Memory Usage: 16.539718%
CPU Usage: 1.435705%, Memory Usage: 16.538031%
CPU Usage: 0.062461%, Memory Usage: 16.538031%
CPU Usage: 2.372035%, Memory Usage: 16.155295%
CPU Usage: 1.810237%, Memory Usage: 16.144765%
CPU Usage: 0.374766%, Memory Usage: 16.135514%
CPU Usage: 0.872818%, Memory Usage: 16.138274%
CPU Usage: 0.374766%, Memory Usage: 16.157850%
CPU Usage: 2.442079%, Memory Usage: 16.226598%
CPU Usage: 2.252816%, Memory Usage: 16.316097%
CPU Usage: 0.562852%, Memory Usage: 16.296981%
CPU Usage: 0.062461%, Memory Usage: 16.299639%
CPU Usage: 2.128992%, Memory Usage: 16.418784%
CPU Usage: 0.062500%, Memory Usage: 16.441478%
CPU Usage: 0.625391%, Memory Usage: 16.460850%
CPU Usage: 0.124844%, Memory Usage: 16.460850%
CPU Usage: 0.375704%, Memory Usage: 16.457375%
CPU Usage: 0.187032%, Memory Usage: 16.457375%
CPU Usage: 0.625000%, Memory Usage: 16.467035%
CPU Usage: 1.122195%, Memory Usage: 16.441632%
CPU Usage: 0.624610%, Memory Usage: 16.421595%
CPU Usage: 0.124844%, Memory Usage: 16.421595%
CPU Usage: 0.935745%, Memory Usage: 16.415104%
CPU Usage: 0.062461%, Memory Usage: 16.411884%
CPU Usage: 0.625000%, Memory Usage: 16.428189%
CPU Usage: 0.000000%, Memory Usage: 16.428189%
CPU Usage: 0.562149%, Memory Usage: 16.434476%
CPU Usage: 4.296389%, Memory Usage: 16.536600%
CPU Usage: 6.915888%, Memory Usage: 16.707625%
CPU Usage: 6.741573%, Memory Usage: 16.461310%
CPU Usage: 3.433208%, Memory Usage: 16.528933%
CPU Usage: 0.000000%, Memory Usage: 16.527911%
CPU Usage: 0.622665%, Memory Usage: 16.540536%
CPU Usage: 3.377111%, Memory Usage: 16.750970%
CPU Usage: 6.911582%, Memory Usage: 16.905843%
CPU Usage: 8.239700%, Memory Usage: 16.728838%
CPU Usage: 2.618454%, Memory Usage: 16.935131%
CPU Usage: 0.873908%, Memory Usage: 16.996160%
CPU Usage: 0.933998%, Memory Usage: 16.949596%
CPU Usage: 2.125000%, Memory Usage: 17.006894%
CPU Usage: 7.514089%, Memory Usage: 17.162483%
CPU Usage: 8.559113%, Memory Usage: 17.271508%
CPU Usage: 9.449312%, Memory Usage: 17.035978%
CPU Usage: 9.663342%, Memory Usage: 17.153385%
CPU Usage: 10.275689%, Memory Usage: 17.219270%
CPU Usage: 14.259144%, Memory Usage: 17.396582%
CPU Usage: 7.985028%, Memory Usage: 17.574866%
CPU Usage: 11.291329%, Memory Usage: 17.376341%
CPU Usage: 10.664994%, Memory Usage: 17.614939%
CPU Usage: 15.611285%, Memory Usage: 17.818574%
CPU Usage: 12.623762%, Memory Usage: 17.759896%
CPU Usage: 10.930668%, Memory Usage: 17.972170%
CPU Usage: 1.815905%, Memory Usage: 18.134966%
CPU Usage: 2.296710%, Memory Usage: 18.170132%
CPU Usage: 0.062461%, Memory Usage: 18.199471%
CPU Usage: 1.122195%, Memory Usage: 18.227839%
CPU Usage: 0.187383%, Memory Usage: 18.218281%
CPU Usage: 0.187149%, Memory Usage: 18.224414%
CPU Usage: 0.687071%, Memory Usage: 18.116054%
CPU Usage: 0.000000%, Memory Usage: 18.116054%
CPU Usage: 0.437774%, Memory Usage: 18.087328%
CPU Usage: 0.062422%, Memory Usage: 18.087022%
CPU Usage: 1.436602%, Memory Usage: 18.094433%
CPU Usage: 0.062500%, Memory Usage: 18.095353%
CPU Usage: 0.500313%, Memory Usage: 18.089168%
CPU Usage: 0.187383%, Memory Usage: 18.062538%
CPU Usage: 0.935162%, Memory Usage: 18.062180%
CPU Usage: 0.125156%, Memory Usage: 18.057887%
CPU Usage: 0.866873%, Memory Usage: 18.070359%
CPU Usage: 0.124844%, Memory Usage: 18.070359%
CPU Usage: 0.500313%, Memory Usage: 18.063407%
CPU Usage: 0.000000%, Memory Usage: 18.063407%
CPU Usage: 0.748130%, Memory Usage: 18.076032%
CPU Usage: 0.682806%, Memory Usage: 18.082472%
CPU Usage: 0.873908%, Memory Usage: 18.079661%
CPU Usage: 0.374532%, Memory Usage: 18.105065%
CPU Usage: 0.687071%, Memory Usage: 18.114623%
CPU Usage: 0.062422%, Memory Usage: 18.114623%
CPU Usage: 0.562500%, Memory Usage: 18.121319%
CPU Usage: 0.687071%, Memory Usage: 18.106956%
CPU Usage: 0.563204%, Memory Usage: 18.110176%
CPU Usage: 0.062461%, Memory Usage: 18.106956%
CPU Usage: 0.499688%, Memory Usage: 18.116923%
CPU Usage: 0.000000%, Memory Usage: 18.113498%
CPU Usage: 0.062500%, Memory Usage: 18.119836%
